Idx,Name,Label
262,M262,FAC3_fatty_acids
263,M263,FAC1_Amin_acid
264,M264,FAC2_Amin_acid
265,M265,FAC1_other_lip
266,M266,FAC2_other_lip
267,M267,FAC1_glycolysis_relat
268,M268,FAC1_Phospholip
269,M269,FAC1_free_cholest
270,M270,FAC1_total_lipids
271,M271,FAC1_Cholest_esters
272,M272,FAC2_Cholest_esters
273,M273,FAC1_triglycerides
274,M274,FAC1_ketone_bodies
275,M275,FAC1_lipo_part_siz
276,M276,FAC2_lipo_part_siz
277,M277,PCR_ultrasenc
278,M278,Pro_BNP
